Topology,TCP Variant,Avg Throughput (Mbps),Avg Delay (ms),Avg PDR (%),Avg Drop (%),Avg Energy (J)
"WiFi 802.11
(Mobile)",Experts (Paper),4.9365,54.8299,87.1272,2.2062,625.2995
"WiFi 802.11
(Mobile)",Adaptive Experts,5.0648,54.2789,87.3183,2.1864,547.4186
"WiFi 802.11
(Mobile)",Kalman Filter,4.5346,36.0128,87.4780,2.1332,624.8267
"WiFi 802.11
(Mobile)",EWMA / ML,4.3632,38.1329,87.4776,2.0304,547.4686
"WiFi 802.11
(Mobile)",Westwood+,4.8976,105.9049,90.1629,3.2160,654.0288
"WiFi 802.11
(Mobile)",NewReno,5.5704,119.5024,89.7594,3.5564,652.7342
"802.15.4
(Static)",Experts (Paper),0.1220,66.0027,89.4195,8.7563,4.3897
"802.15.4
(Static)",Adaptive Experts,0.1270,65.8838,89.8353,8.5232,4.3941
"802.15.4
(Static)",Kalman Filter,0.1122,41.2574,90.6178,7.7980,4.2564
"802.15.4
(Static)",EWMA / ML,0.1198,49.3365,90.2598,8.0994,4.3268
"802.15.4
(Static)",Westwood+,0.1173,69.0296,89.8398,8.4674,4.3924
"802.15.4
(Static)",NewReno,0.1229,65.2203,89.5063,8.8935,4.3989
Cross-Trans.,Experts (Paper),13.3088,110.7000,73.1260,5.5856,1614.2208
Cross-Trans.,Adaptive Experts,12.3078,110.6698,72.8579,6.4623,1613.9482
Cross-Trans.,Kalman Filter,23.5568,58.2001,75.4870,4.1893,1613.6610
Cross-Trans.,EWMA / ML,21.3202,74.0717,74.0953,5.1666,1612.8546
Cross-Trans.,Westwood+,24.3133,134.3600,72.2700,6.4109,1613.5350
Cross-Trans.,NewReno,40.8559,132.5700,71.8691,6.7628,1613.7510
LTE,Experts (Paper),17.6560,23.7402,99.6689,0.1725,189.6002
LTE,Adaptive Experts,17.6558,23.7580,99.6672,0.1719,189.5992
LTE,Kalman Filter,17.2108,21.6570,99.8201,0.0866,185.9704
LTE,EWMA / ML,17.2108,21.6570,99.8201,0.0866,185.9704
LTE,Westwood+,17.6596,24.0270,99.6112,0.2029,189.9466
LTE,NewReno,17.6719,24.0385,99.6215,0.1939,190.0086
