sweep,tcp,nWired,nWireless,nFlows,packetsPerSec,speed,txPackets,rxPackets,lostPackets,pdr,dropRatio,throughput_Mbps,delay_ms,energy_J
nodes,experts,5,15,10,100,5,40467,40198,252,99.3353,0.62273,4.93785,44.1751,849.784
nodes,experts,10,30,20,100,5,45137,41726,3203,92.443,7.09617,11.1901,147.027,1626.19
nodes,experts,15,45,30,100,5,43951,38854,3862,88.403,8.78706,22.9123,175.968,2408.01
nodes,experts,20,60,40,100,5,39371,33642,4497,85.4487,11.4221,27.5038,186.33,3187.12
nodes,experts,25,75,50,100,5,0,0,0,0,0,0,0,0
nodes,adaptive,5,15,10,100,5,40354,40070,255,99.2962,0.631908,4.95539,50.3742,849.971
nodes,adaptive,10,30,20,100,5,45767,42090,3411,91.9658,7.45297,16.1117,150.014,1624.31
nodes,adaptive,15,45,30,100,5,42893,37602,4631,87.6647,10.7966,15.3561,176.371,2409.11
nodes,adaptive,20,60,40,100,5,39933,34088,5363,85.363,13.43,25.1158,176.59,3186.35
nodes,adaptive,25,75,50,100,5,0,0,0,0,0,0,0,0
nodes,kalman,5,15,10,100,5,38447,38131,286,99.1781,0.743881,5.58391,16.1681,841.415
nodes,kalman,10,30,20,100,5,41375,39753,1567,96.0798,3.78731,11.6538,54.8332,1628.02
nodes,kalman,15,45,30,100,5,42329,39520,2733,93.3639,6.45657,57.0688,89.279,2411.27
nodes,kalman,20,60,40,100,5,38349,34059,3819,88.8133,9.95854,43.4777,130.72,3187.6
nodes,kalman,25,75,50,100,5,0,0,0,0,0,0,0,0
nodes,ml,5,15,10,100,5,39587,39329,251,99.3483,0.634047,4.88013,12.4894,840.933
nodes,ml,10,30,20,100,5,43042,41353,1466,96.0759,3.40598,28.8347,60.3652,1626.89
nodes,ml,15,45,30,100,5,42387,37591,3731,88.6852,8.80223,30.9168,141.986,2409.11
nodes,ml,20,60,40,100,5,40329,34831,5239,86.3671,12.9907,41.9692,155.518,3187.34
nodes,ml,25,75,50,100,5,0,0,0,0,0,0,0,0
nodes,plus,5,15,10,100,5,46687,45819,713,98.1408,1.52719,7.11406,150.515,845.815
nodes,plus,10,30,20,100,5,44650,41181,2790,92.2307,6.2486,50.0505,151.905,1626.29
nodes,plus,15,45,30,100,5,43981,37388,5912,85.0094,13.4422,38.8713,184.842,2406.93
nodes,plus,20,60,40,100,5,42007,36113,4552,85.969,10.8363,25.5307,184.538,3188.64
nodes,plus,25,75,50,100,5,0,0,0,0,0,0,0,0
nodes,newreno,5,15,10,100,5,46573,45160,1240,96.9661,2.66249,34.6121,147.886,845.625
nodes,newreno,10,30,20,100,5,44558,40439,3891,90.7559,8.73244,49.8566,156.599,1626.93
nodes,newreno,15,45,30,100,5,43603,37980,4642,87.1041,10.6461,42.8914,170.767,2409.49
nodes,newreno,20,60,40,100,5,41239,34855,4855,84.5195,11.7728,76.9195,187.598,3186.71
nodes,newreno,25,75,50,100,5,0,0,0,0,0,0,0,0
