sweep,tcp,nNodes,nFlows,packetsPerSec,speed,txPackets,rxPackets,lostPackets,pdr,dropRatio,throughput_Mbps,delay_ms,energy_J
nodes,experts,20,10,100,5,41365,41338,0,99.9347,0,13.1114,19.5129,92.034
nodes,experts,40,20,100,5,76035,75734,156,99.6041,0.205169,18.8404,26.036,173.902
nodes,experts,60,30,100,5,72267,71999,141,99.6292,0.19511,18.0921,25.0869,198.267
nodes,experts,80,40,100,5,73231,72926,172,99.5835,0.234873,19.1788,24.3718,229.694
nodes,experts,100,50,100,5,69497,69214,158,99.5928,0.227348,19.0571,23.6935,254.104
nodes,adaptive,20,10,100,5,41365,41338,0,99.9347,0,13.1114,19.5129,92.034
nodes,adaptive,40,20,100,5,75781,75493,141,99.62,0.186062,18.7878,25.9267,173.528
nodes,adaptive,60,30,100,5,72273,71995,147,99.6153,0.203395,18.0923,25.1501,198.27
nodes,adaptive,80,40,100,5,73285,72980,174,99.5838,0.237429,19.1911,24.2622,229.775
nodes,adaptive,100,50,100,5,69690,69399,162,99.5824,0.232458,19.0962,23.9382,254.389
nodes,kalman,20,10,100,5,41365,41338,0,99.9347,0,13.1114,19.5129,92.034
nodes,kalman,40,20,100,5,70623,70551,18,99.8981,0.0254874,17.8405,21.6059,165.899
nodes,kalman,60,30,100,5,66064,65938,66,99.8093,0.0999031,16.8085,21.2701,189.033
nodes,kalman,80,40,100,5,72699,72516,103,99.7483,0.14168,19.174,23.6114,228.957
nodes,kalman,100,50,100,5,69353,69152,115,99.7102,0.165818,19.1194,22.2847,253.929
nodes,ml,20,10,100,5,41365,41338,0,99.9347,0,13.1114,19.5129,92.034
nodes,ml,40,20,100,5,70623,70551,18,99.8981,0.0254874,17.8405,21.6059,165.899
nodes,ml,60,30,100,5,66064,65938,66,99.8093,0.0999031,16.8085,21.2701,189.033
nodes,ml,80,40,100,5,72699,72516,103,99.7483,0.14168,19.174,23.6114,228.957
nodes,ml,100,50,100,5,69353,69152,115,99.7102,0.165818,19.1194,22.2847,253.929
nodes,plus,20,10,100,5,41365,41338,0,99.9347,0,13.1114,19.5129,92.034
nodes,plus,40,20,100,5,76386,75986,205,99.4763,0.268374,18.8104,26.6092,174.379
nodes,plus,60,30,100,5,72633,72323,165,99.5732,0.227169,18.1336,25.5793,198.794
nodes,plus,80,40,100,5,73391,73045,196,99.5286,0.267063,19.1652,24.4037,229.913
nodes,plus,100,50,100,5,69848,69529,176,99.5433,0.251976,19.0773,24.0297,254.613
nodes,newreno,20,10,100,5,41365,41338,0,99.9347,0,13.1114,19.5129,92.034
nodes,newreno,40,20,100,5,76377,76011,184,99.5208,0.24091,18.8256,26.3588,174.382
nodes,newreno,60,30,100,5,72898,72580,164,99.5638,0.224972,18.178,25.7087,199.188
nodes,newreno,80,40,100,5,73482,73143,191,99.5387,0.259928,19.1747,24.4714,230.053
nodes,newreno,100,50,100,5,69695,69381,170,99.5495,0.24392,19.07,24.1408,254.386
