tcp,speed,n,throughput_mean,throughput_std,loss_mean,loss_std,delay_mean,delay_std,jitter_mean,jitter_std,goodput_mean,goodput_std
adaptive,"[1,10]",3,12.5216,3.8483,2.6697,0.1574,39.72,15.08,10.7064,0.6388,95526,2499
adaptive,"[20,30]",3,14.3608,3.1046,2.9027,0.4401,39.39,12.48,9.5125,0.4481,99751,2413
adaptive,"[40,50]",3,9.0975,1.6512,3.6773,0.5724,43.64,5.51,9.5678,1.4378,90545,2065
experts,"[1,10]",3,13.8639,0.6995,2.8911,0.3964,42.74,5.89,10.9546,0.4158,95243,7107
experts,"[20,30]",3,16.9672,2.5115,2.8192,0.4014,43.28,4.48,9.7775,0.6564,98829,2148
experts,"[40,50]",3,10.3120,2.6025,3.7967,0.3980,45.90,7.14,9.2842,1.0095,91007,4147
kalman,"[1,10]",3,13.3077,3.5435,2.5207,0.2796,31.87,4.25,10.0748,0.5311,98916,3260
kalman,"[20,30]",3,15.7102,2.4422,2.8483,0.3744,37.22,7.75,9.1783,0.3233,96630,4742
kalman,"[40,50]",3,12.0845,2.1609,3.3581,0.3245,51.60,12.73,9.1208,1.0799,90240,2100
ml,"[1,10]",3,12.7676,3.2214,2.6929,0.3298,38.83,6.99,10.2506,1.1279,96604,3269
ml,"[20,30]",3,16.9071,0.6835,2.8769,0.4403,45.88,12.01,9.4758,0.4530,95170,2563
ml,"[40,50]",3,10.7268,0.4356,3.5693,0.2436,46.82,10.39,9.4742,0.1596,91919,4489
newreno,"[1,10]",3,18.1734,3.1081,3.7037,0.2280,70.64,10.44,12.5733,0.7217,93414,2503
newreno,"[20,30]",3,21.2256,0.2541,3.5725,0.5913,67.05,3.50,10.6686,0.9209,93199,3544
newreno,"[40,50]",3,16.8529,2.3016,4.2292,0.2280,62.61,5.69,10.6384,0.6989,92747,484
plus,"[1,10]",3,17.0160,4.4819,3.0810,0.0515,59.67,16.99,10.8613,1.1664,93558,4881
plus,"[20,30]",3,22.0016,1.2499,3.2424,0.3533,59.10,8.15,9.5815,0.1929,94954,2680
plus,"[40,50]",3,15.8792,1.9724,3.8888,0.6155,66.99,9.01,9.3656,0.7996,91441,1055
